query,query_score,response_score
Punishment for sex with a minor,75,85
Legal consequences of rape,60,75
Penalty for molestation,65,85
Laws against sexual harassment at the workplace,85,95
Punishment for acid attacks,90,95
Is marital rape a crime in India?,75,90
Consequences of stalking and voyeurism,75,95
Punishment for sharing obscene content online,75,90
Laws on human trafficking and forced prostitution,75,95
Legal consequences of dowry harassment,75,90
Punishment for cyberstalking and online harassment,75,90
Legal consequences of hacking,95,98
Is online defamation a criminal offense?,75,90
Penalty for identity theft and phishing scams,75,90
Laws on sending obscene messages over the internet,75,90
Can offensive social media posts lead to arrest?,75,90
Legal actions against deepfake pornography,75,90
Consequences of unauthorized access to personal data,75,90
Punishment for cyberbullying and online blackmail,75,90
Punishment for murder,70,85
Difference between murder and culpable homicide,95,98
Legal consequences of attempted murder,85,90
Penalty for abetment of suicide,75,85
Laws against honor killings,75,90
Is mercy killing (euthanasia) legal in India?,20,100
Punishment for dowry-related deaths,85,95
Can accidental death lead to criminal charges?,95,98
Legal consequences of mob lynching,95,90
Laws on custodial death and police brutality,75,90
Punishment for theft and burglary,75,90
Penalty for cheating and financial fraud,75,90
Punishment for forgery and fake document creation,75,95
Legal consequences of bank fraud,85,95
Is cryptocurrency fraud a punishable offense?,75,95
Laws on insider trading and corporate fraud,75,90
Punishment for money laundering,90,95
Consequences of issuing a bounced cheque,60,90
Is running a pyramid scheme illegal in India?,75,90
Punishment for kidnapping and abduction,75,90
Laws on human trafficking,75,95
Penalty for extortion and blackmail,65,90
Legal consequences of organized crime activities,85,95
Punishment for drug trafficking and narcotics smuggling,65,85
Punishment for sedition and anti-national activities,75,90
Laws on hate speech and communal violence,75,95
Consequences of spreading religious disharmony,75,95
Consequences of damaging public property during protests,75,90
