query,query_score,response_score
Punishment for sex with a minor,90,70
Legal consequences of rape,75,90
Penalty for molestation,20,30
Laws against sexual harassment at the workplace,20,80
Punishment for acid attacks,90,95
Is marital rape a crime in India?,60,75
Consequences of stalking and voyeurism,75,80
Punishment for sharing obscene content online,60,75
Laws on human trafficking and forced prostitution,75,90
Legal consequences of dowry harassment,20,10
Punishment for cyberstalking and online harassment,20,40
Legal consequences of hacking,30,60
Is online defamation a criminal offense?,85,70
Penalty for identity theft and phishing scams,40,60
Laws on sending obscene messages over the internet,70,60
Punishment for spreading fake news and misinformation,75,85
Can offensive social media posts lead to arrest?,70,60
Consequences of unauthorized access to personal data,70,65
Punishment for cyberbullying and online blackmai,60,70
Punishment for murder,65,70
Difference between murder and culpable homicide,75,90
Legal consequences of attempted murder,85,70
Penalty for abetment of suicide,75,95
Laws against honor killings,20,90
Is mercy killing (euthanasia) legal in India?,20,15
Punishment for dowry-related deaths,70,85
Can accidental death lead to criminal charges?,20,30
Legal consequences of mob lynching,70,60
Laws on custodial death and police brutality,75,60
Punishment for theft and burglary,75,80
What is criminal breach of trust?,75,90
Penalty for cheating and financial fraud,75,95
Punishment for forgery and fake document creation,75,90
Legal consequences of bank fraud,15,70
Laws on insider trading and corporate fraud,75,85
Punishment for money laundering,20,70
Consequences of issuing a bounced cheque,75,90
Is running a pyramid scheme illegal in India?,75,60
Punishment for kidnapping and abduction,75,90
Laws on human trafficking,75,40
Penalty for extortion and blackmail,90,80
Legal consequences of organized crime activities,20,10
Punishment for drug trafficking and narcotics smuggling,20,15
Punishment for sedition and anti-national activities,85,90
Laws on hate speech and communal violence,75,85
Consequences of spreading religious disharmony,65,85
Penalty for rioting and unlawful assembly,85,90
Consequences of damaging public property during protests,75,85
Laws on unlawful assembly and public disorder,75,90
