query,query_score,response_score
Legal consequences of rape,20,40
Penalty for molestation,85,95
Laws against sexual harassment at the workplace,20,85
Punishment for acid attacks,75,90
Is marital rape a crime in India?,70,85
Consequences of stalking and voyeurism,20,90
Punishment for sharing obscene content online,20,30
Laws on human trafficking and forced prostitution,75,85
Legal consequences of dowry harassment,75,90
Punishment for cyberstalking and online harassment,60,40
Legal consequences of hacking,70,85
Is online defamation a criminal offense?,85,70
Penalty for identity theft and phishing scams,20,15
Laws on sending obscene messages over the internet,60,75
Punishment for spreading fake news and misinformation,20,10
Legal actions against deepfake pornography,70,60
Consequences of unauthorized access to personal data,75,85
Punishment for cyberbullying and online blackmai,20,30
Punishment for murder,20,40
Difference between murder and culpable homicide,75,95
Legal consequences of attempted murder,70,40
Penalty for abetment of suicide,20,80
Laws against honor killings,85,90
Is mercy killing (euthanasia) legal in India?,75,60
Punishment for dowry-related deaths,75,85
Can accidental death lead to criminal charges?,60,40
Legal consequences of mob lynching,20,10
Laws on custodial death and police brutality,75,85
Punishment for theft and burglary,75,60
What is criminal breach of trust?,70,90
Penalty for cheating and financial fraud,75,85
Punishment for forgery and fake document creation,85,95
Is cryptocurrency fraud a punishable offense?,60,85
Laws on insider trading and corporate fraud,75,90
Punishment for money laundering,20,40
Consequences of issuing a bounced cheque,90,95
Is running a pyramid scheme illegal in India?,60,40
Punishment for kidnapping and abduction,75,85
Laws on human trafficking,20,30
Penalty for extortion and blackmail,75,85
Legal consequences of organized crime activities,60,20
Punishment for drug trafficking and narcotics smuggling,20,10
Punishment for sedition and anti-national activities,20,40
Laws on hate speech and communal violence,60,75
Consequences of spreading religious disharmony,75,85
Penalty for rioting and unlawful assembly,60,85
Consequences of damaging public property during protests,70,85
Laws on unlawful assembly and public disorder,20,85
